name,inList,now,minn,last order
110,128,249,100,0
100,66,301,200,0
150,66,119,60,0
210,128,235,100,0
200,66,132,140,3
250,66,149,60,0
310,128,183,100,0
300,66,209,300,5
350,66,170,80,0
710,128,128,100,0
700,66,98,140,3
750,66,117,60,0
800,66,56,60,1
900,66,114,80,0
950,66,54,60,1
3050,66,196,40,0
3150,66,137,60,0
3300,66,154,200,4
3450,66,105,50,0
3600,66,130,80,0
3750,66,70,40,0
3900,66,94,40,0
4150,66,66,50,0
4400,66,85,90,0
4250,66,51,50,0
4350,66,85,90,0
90402S,66,82,30,0
90202S,60,30,20,0
90502S,60,40,20,0
90102S,60,75,20,0
90602S,60,19,20,1
90302S,60,60,20,0
21301S,60,38,20,0
21002S,60,60,50,0
20902S,60,50,20,0
8500S,112,84,20,0
8400S,100,30,20,0
60601S,60,74,20,0
102S,60,73,40,0
10401S,60,74,20,0
10501S,60,99,20,0
10201S,60,29,20,0
10301S,60,12,20,0
10101S,60,184,20,0
101S,66,66,30,0
4550S,48,80,30,0
4500S,48,64,30,0
30501S,45,61,40,0
6900S,60,60,20,0
6800S,60,54,20,0
6700S,60,20,20,0
6500S,48,32,20,0
100 ETL B,0,0,0,0
700 ETL B,0,0,0,0
5001,56,112,40,0
5000,55,149,50,0
5100,48,47,60,0
5200,48,128,60,0
5300,55,56,30,0
5400,48,98,40,0
5500,48,80,40,0
5600,48,85,40,0
5700,48,51,25,0
5800,48,70,25,0
5901,56,159,120,0
5900,48,179,120,0
6000,48,144,250,6
6100,55,149,120,0
6500,60,67,20,0
6800,66,35,24,0
6900,75,98,50,0
7000,75,87,65,0
7300,60,38,25,0
7500,60,82,25,0
9200,66,93,120,2
1001,56,104,20,0
1003,56,19,15,0
7800,60,92,80,0
9400,60,248,300,6
2017,0,-58,0,0
9600,60,54,50,0
7700,0,0,0,0
11100,66,91,80,0
1005,48,50,40,0
4800,48,110,40,0
8000,160,156,30,0
8100,110,130,30,0
8200,143,77,60,0
8300,128,160,30,0
8400,160,100,30,0
4900,48,126,140,0
4910,66,10,140,3
4700,66,58,50,0
4500,48,45,30,0
4550,52,75,30,0
410,128,148,100,0
400,66,120,60,0
450,60,75,40,0
9500,66,112,60,0
9510,60,65,40,0
510,128,145,100,0
500,60,186,100,0
550,66,79,40,0
9550,66,255,120,0
9551,60,58,50,0
6200,48,34,50,0
610,128,178,100,0
600,60,90,65,0
650,66,113,30,0
9700,66,107,90,0
9710,66,63,40,0
9900,168,120,30,0
1300,66,134,50,0
1350,66,90,40,0
6300,48,85,40,0
9800,66,57,35,0
1510,128,160,80,0
1500,66,48,140,2
1550,66,90,50,0
6400,66,136,50,0
6410,66,60,40,0
7600,66,73,30,0
1600,66,73,50,0
6600,48,31,25,0
2104,128,218,100,0
2004,66,61,50,0
2450,66,77,40,0
2006,48,80,30,0
2008,66,40,25,0
2014,66,65,50,0
2015,48,59,30,0
2020,66,45,50,1
2021,48,44,50,2
Н060,66,93,60,0
Н069,66,110,60,0
Н075,50,109,80,0
Н070,48,320,400,9
Н071,66,143,135,0
21200S,66,66,30,0
21102S,66,66,30,0
1005S,66,100,30,0
70601S,66,100,30,0
2007S,66,35,30,0
21601S,66,79,30,0
90702S,66,35,30,0
21401S,66,109,30,0
9550S,66,33,30,0
21501S,66,130,30,0
20802S,66,54,30,0
30502S,48,22,15,0
103S,66,33,15,0
2006S,48,24,15,0
2008S,66,40,20,0
1007,66,69,140,3
3101,45,102,300,7
100В,40,15,24,1
200В,40,58,20,0
300В,40,55,20,0
700В,40,40,20,0
2014В,40,22,20,0
2020В,0,0,0,0
2009В,0,0,0,0
1900В,0,0,0,0
1800В,0,0,0,0
2001В,0,0,0,0
2025,66,62,60,0
2026,66,77,60,0
2027,66,107,60,0
2028,66,86,60,0
2029,66,80,60,0
2030,66,96,60,0
2031,66,110,60,0
2032,66,62,60,0
2033,66,90,60,0
2034,66,126,60,0
2035,66,81,60,0
2036,66,69,60,0
81736,48,79,40,0
2502,120,286,100,0
10255,66,104,100,0
2465,66,211,100,0
10262,66,107,100,0
9853,66,160,70,0
9808,66,197,70,0
8016,66,130,60,0
7606,66,69,60,0
4704,48,49,50,2
6609,48,114,100,0
1651,0,-1,0,0
1613,0,-2,0,0
1620,0,0,0,0
1637,0,0,0,0
1644,0,0,0,0
1668,0,0,0,0
1675,0,-3,0,0
1682,0,-5,0,0
1699,0,-3,0,0
1446,0,0,0,0
1453,0,0,0,0
1422,0,0,0,0
1439,0,-2,0,0
81248,0,-1,0,0
10767,0,-6,0,0
10750,0,-1,0,0
9752,0,0,0,0
1700,0,0,0,0
1800,0,0,0,0
1900,0,0,0,0
2012,0,0,0,0
2016,0,0,0,0
2500,0,0,0,0
1004,0,0,0,0
2022,0,-1,0,0
TRX 2 ,0,0,0,0
Melaniq,0,0,0,0
DRM 4,0,0,0,0
Immune +,0,0,0,0
