eng,rus,example
vargant,бродяга,and vargant ronin Jin
tempestuous,бурный,tempestuous temperament
beheading,обезглавливание,will be executed by beheading
regret,сожаления,feling any regret
held,держать,what held you idiot?
dumplings,пельмени,Hey arent my dumplings ready yet?
frown,хмурится,come on dont give me that frown
governor,губернатор,that blond boy is the son of the prefectural governor
supposed,предпологаемый,whats this supposed to be?
rid,избавлять,go and get rid of that insolent peasant
insolent,наглый,go and get rid of that insolent peasant
peasant,крестьянин,go and get rid of that insolent peasant
fuss,суета,dont make a fuss
interfere,вмешиватся,are you trying to interfere?
bidding,приказы,to serve your lord and do his bidding ... is this honor?
hone,точильный камень,is that what you spend all those years hone your skills for?
worthless,бесполезный,to be blunt I think youre worthless
blunt,прямой тупой,to be blunt I think youre worthless
worth,цена,jeez your lives aint worth squat
squat,приседать,jeez your lives aint worth squat
moron,придурок,what are you some kind of moron
folk,народ,folk s who lay a finger on me pay the price
payroll,зп,my old mans got Yagyu on his payroll right now
recently,недавно,they died just recently
celestial,небесный,the celestial beauty of music
@,@,@
tailor,портной,talk about your tailor made settings
stance,стойка,your stance leave you wide-open
mess,безпорядок,everithing about the way you fight is a mess
bend,сгибать,could you bend the rules for me
bald,плешивій,whats your problem you bald old fart
fart,пердун,whats your problem you bald old fart
wring,отжимать,they realy put you throw the wringer
bother,беспокоить,don't bother about me—I'll find my own way home
borrowing,заимствовать,Im borrowing this for a minute
intend,намереватся,you intend to kill all these man
patience,терпение,you try the patience of a saint. but im not saint
saint,святой,you try the patience of a saint. but im not saint
rastraint,сдержанность,the man doesnt know the meaning of rastraint
@,@,@
mumbling,шопот,this missing arm of mine is mumbling to me.
stash,хранить,pull out everything you have even your secret stash.
acorn,жолудь,Creatures I had known from nut and acorn.
bun,булочка,Tiny secret - tiny bun taller lady.
filcher,воришка,perhaps this is why they call that bird a filcher
rumor,слухи,yeah that what the rumors say.
frightful,жуткая,what a frightful story.
possible,возможный,he was a possible future customer.
startle,пугать,dont startle me like that.
unreliable,ненадежный,Never install plug-ins or themes from unreliable sources.
bet,ставка,i bet you are a student of some dojo.
queue,очередь,Many people complained that they had to queue.
handle,исправить,How do I handle a boyfriend who complains about everything?
confident,уверенный,im jealous of people who confident in their skils.
lodging,ночлег,perhaps but we dont have money for lodging.
shack,лочуга,there is a shack near the hot springs up the road.
rape,изнасилование,i gonna rape you dumb broad.
dumb,тупой,i gonna rape you dumb broad.
broad,баба,i gonna rape you dumb broad.(широкий)
innkeeper,трактирщик,The innkeeper put a note at the door.
silly,глупый,this a silly question to ask.
coy,застенчивый,im not interested in play coy.
@,@,@
glow,светится,do you know why fireflies give their glow?
enforcement,правоприменение,we are Kanto regional law enforcement officers.
arson,поджог,you are under arest for the arson of a teahouse.
treasure,казна,you are under arest for the murder of treasure employee.
sloppy,небрежній,you better start talking before i get sloppy skewer you.
skewer,проткнуть,you better start talking before i get sloppy skewer you.
accidentally,случайно,his gun went off accidentally.
probably,вероятно,she would probably never see him again.
neglect,пренебрегать,i neglected to mention this earlier but i am an asassin.
merely,просто(just),killing is merely a business for me.
admit,признавать,i must admit if we were in dojo perhaps i wouldnt be able to beat you.
noodle,лапша,my arms like wet noodles.
nevertheless,тем не мение,nevertheless my policy is to never work any longer then necessery.
gracious,милостевый,goodness gracious.
expect,ожидать,i expect thet you and i will meet again one day.
@,@,@
hound,гончая,hell hounds for hire
